Average Rating,Average Difficulty,Number of Ratings,Received a Pepper?,Proportion Retake,Online Ratings,Male,Female
3.2,4.0,5.0,0.0,40.0,0.0,0,0
,,,,,,0,0
5.0,1.0,1.0,1.0,,0.0,0,1
1.4,4.4,8.0,0.0,20.0,0.0,1,0
4.3,2.5,30.0,1.0,86.0,0.0,0,0
,,,,,,0,0
3.0,3.2,5.0,0.0,,0.0,1,0
5.0,1.0,1.0,0.0,,0.0,0,1
3.0,3.7,3.0,0.0,,0.0,1,1
4.2,3.1,9.0,1.0,,0.0,0,0
1.0,5.0,2.0,0.0,,1.0,0,1
4.2,2.1,7.0,1.0,,4.0,0,1
2.5,3.0,2.0,0.0,,0.0,0,1
3.5,3.0,1.0,0.0,,0.0,1,0
2.9,3.2,6.0,0.0,,5.0,1,0
,,,,,,0,0
1.6,4.1,12.0,0.0,,0.0,1,0
4.8,2.5,24.0,0.0,100.0,14.0,1,0
3.6,2.7,6.0,0.0,,0.0,1,0
2.0,4.0,8.0,0.0,,4.0,1,1
,,,,,,0,0
,,,,,,0,0
3.8,4.0,3.0,0.0,,0.0,0,1
1.0,5.0,2.0,0.0,,0.0,0,1
3.1,2.4,8.0,0.0,60.0,0.0,0,0
,,,,,,0,0
5.0,1.5,2.0,0.0,,0.0,0,1
,,,,,,0,0
4.7,1.7,7.0,0.0,100.0,1.0,0,1
4.1,3.0,4.0,0.0,,0.0,1,0
,,,,,,0,0
4.8,2.6,26.0,0.0,100.0,0.0,1,0
3.0,3.0,1.0,0.0,,0.0,1,0
4.3,3.0,3.0,1.0,,0.0,1,0
4.4,3.1,13.0,1.0,,0.0,0,1
,,,,,,0,0
5.0,2.0,4.0,1.0,,0.0,0,0
2.5,2.5,2.0,0.0,,1.0,0,1
5.0,4.0,1.0,0.0,,0.0,0,1
4.5,2.5,2.0,0.0,,0.0,0,1
,,,,,,0,0
3.0,3.4,8.0,1.0,50.0,1.0,1,0
5.0,2.0,2.0,0.0,,0.0,1,0
4.8,2.0,2.0,0.0,,0.0,0,1
3.8,2.4,16.0,1.0,70.0,0.0,1,0
,,,,,,0,0
,,,,,,0,0
2.6,4.6,5.0,0.0,,0.0,0,1
1.0,3.0,1.0,0.0,,1.0,1,0
3.5,1.4,9.0,0.0,67.0,0.0,0,0
5.0,3.0,2.0,1.0,,0.0,0,1
3.5,4.3,3.0,0.0,,0.0,1,0
4.5,2.0,2.0,1.0,,0.0,0,1
1.9,3.5,4.0,0.0,,0.0,0,1
3.0,3.3,3.0,0.0,,0.0,0,1
5.0,3.0,1.0,0.0,,0.0,1,0
5.0,1.0,1.0,0.0,,1.0,0,1
4.3,3.0,2.0,0.0,,0.0,1,0
4.5,2.3,15.0,0.0,88.0,0.0,0,1
,,,,,,0,0
3.0,3.8,26.0,0.0,70.0,0.0,0,1
1.6,4.8,4.0,0.0,,1.0,0,0
4.8,2.3,4.0,0.0,,0.0,0,1
4.0,3.0,5.0,0.0,,1.0,0,1
3.0,5.0,1.0,0.0,,0.0,1,0
,,,,,,0,0
4.5,2.0,2.0,0.0,,2.0,0,1
4.9,3.6,5.0,0.0,,0.0,1,1
2.0,4.7,6.0,0.0,,0.0,0,0
1.9,4.4,5.0,0.0,,0.0,1,1
1.0,2.0,1.0,0.0,,0.0,0,0
3.9,3.4,5.0,0.0,,0.0,1,0
3.6,3.7,14.0,0.0,20.0,1.0,1,0
2.5,3.0,2.0,0.0,,1.0,0,1
3.8,3.0,2.0,0.0,,0.0,1,0
3.5,2.0,3.0,1.0,,0.0,0,1
4.6,3.2,29.0,1.0,94.0,0.0,0,0
2.6,2.2,4.0,0.0,,0.0,0,1
,,,,,,0,0
4.3,3.3,4.0,0.0,,3.0,0,1
,,,,,,0,0
5.0,1.0,1.0,0.0,,0.0,1,0
4.5,2.0,1.0,0.0,,0.0,0,1
4.0,2.0,1.0,0.0,,0.0,1,0
4.1,3.2,9.0,0.0,,0.0,1,0
1.9,3.6,17.0,0.0,,0.0,0,0
3.3,4.5,2.0,0.0,,0.0,0,1
,,,,,,0,0
1.8,4.3,3.0,0.0,,0.0,0,1
,,,,,,0,0
4.0,2.6,9.0,1.0,,0.0,1,0
1.5,4.7,3.0,0.0,,0.0,0,0
3.5,3.0,1.0,0.0,,0.0,1,0
3.4,3.7,3.0,0.0,,1.0,0,0
2.5,3.0,1.0,0.0,,0.0,1,0
5.0,2.3,3.0,0.0,,0.0,0,0
,,,,,,0,0
2.3,4.7,3.0,0.0,,0.0,1,0
,,,,,,0,0
4.7,4.0,3.0,1.0,,0.0,0,0
2.2,3.8,5.0,0.0,,1.0,0,1
2.6,3.6,7.0,0.0,,0.0,1,0
3.4,2.5,6.0,0.0,,0.0,0,0
2.7,4.0,12.0,0.0,,0.0,0,1
4.4,1.5,19.0,1.0,100.0,1.0,0,1
1.5,1.0,1.0,0.0,,0.0,0,1
4.5,2.5,6.0,0.0,,3.0,1,0
,,,,,,0,0
4.0,3.3,3.0,0.0,,2.0,1,1
,,,,,,0,0
,,,,,,0,0
4.3,3.3,3.0,1.0,,0.0,0,0
,,,,,,0,0
2.5,4.0,1.0,0.0,,0.0,0,1
,,,,,,0,0
4.0,3.1,7.0,0.0,,0.0,1,0
4.8,2.6,8.0,1.0,,7.0,1,0
4.5,3.4,12.0,1.0,100.0,0.0,1,0
3.8,2.8,12.0,1.0,67.0,2.0,1,0
5.0,1.0,1.0,0.0,,0.0,1,0
4.5,3.2,9.0,1.0,,1.0,0,1
3.9,2.8,4.0,1.0,,0.0,1,0
,,,,,,0,0
4.6,2.3,4.0,0.0,,1.0,0,1
3.9,1.2,4.0,0.0,,4.0,1,0
4.5,1.0,1.0,0.0,,0.0,0,1
4.6,1.9,8.0,0.0,,0.0,1,0
4.0,1.0,1.0,0.0,,0.0,0,0
4.1,2.4,5.0,1.0,,0.0,1,0
3.9,2.7,9.0,1.0,,0.0,0,1
4.5,3.0,1.0,0.0,,1.0,0,1
,,,,,,0,0
2.5,3.5,2.0,0.0,,1.0,0,1
4.5,2.2,5.0,1.0,,0.0,0,1
3.3,3.0,2.0,1.0,,0.0,0,1
3.0,3.0,3.0,0.0,,0.0,1,0
4.0,3.0,10.0,0.0,60.0,1.0,0,0
,,,,,,0,0
,,,,,,0,0
3.9,3.6,20.0,0.0,64.0,0.0,1,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
4.5,2.0,2.0,0.0,,0.0,0,1
3.1,3.0,7.0,0.0,80.0,0.0,1,0
,,,,,,0,0
2.9,3.0,4.0,0.0,,0.0,0,1
,,,,,,0,0
4.8,2.4,5.0,1.0,,0.0,1,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
4.4,2.5,12.0,1.0,100.0,0.0,0,1
,,,,,,0,0
4.0,3.0,1.0,0.0,,0.0,0,1
1.5,4.0,1.0,0.0,,0.0,0,0
3.0,4.5,2.0,0.0,,0.0,0,1
1.5,3.0,1.0,0.0,,0.0,1,0
5.0,1.0,2.0,0.0,,1.0,1,0
2.0,3.0,3.0,0.0,,1.0,0,1
1.0,5.0,1.0,0.0,,0.0,0,1
,,,,,,0,0
4.8,3.0,5.0,1.0,,0.0,1,0
2.8,3.7,3.0,0.0,,0.0,0,1
4.9,1.6,16.0,0.0,88.0,0.0,0,0
2.0,4.5,4.0,0.0,,0.0,0,1
2.7,3.3,12.0,0.0,50.0,0.0,0,1
,,,,,,0,0
4.5,3.0,1.0,0.0,,0.0,0,1
4.7,1.3,6.0,0.0,,0.0,1,0
3.5,4.0,2.0,0.0,,0.0,0,1
3.0,3.5,4.0,0.0,,0.0,0,1
3.1,3.7,3.0,0.0,,0.0,0,1
,,,,,,0,0
4.3,2.5,2.0,0.0,,0.0,1,0
4.6,3.1,8.0,0.0,,0.0,1,0
4.9,2.7,20.0,1.0,100.0,0.0,0,1
4.6,2.9,18.0,0.0,100.0,0.0,1,0
1.3,4.7,3.0,0.0,,0.0,0,1
,,,,,,0,0
4.5,1.7,16.0,1.0,92.0,0.0,0,0
4.6,2.6,26.0,1.0,100.0,3.0,1,0
4.0,4.0,5.0,0.0,,3.0,1,0
,,,,,,0,0
3.3,4.3,4.0,0.0,,0.0,0,1
4.5,1.5,2.0,1.0,,0.0,0,1
4.9,2.0,5.0,1.0,,1.0,0,1
2.0,5.0,2.0,0.0,,0.0,1,0
,,,,,,0,0
3.0,3.0,6.0,0.0,,0.0,0,1
3.0,4.5,2.0,1.0,,0.0,0,0
3.0,4.0,2.0,1.0,,2.0,0,1
4.3,2.4,7.0,0.0,,0.0,0,1
,,,,,,0,0
5.0,4.0,1.0,0.0,,0.0,0,1
1.9,3.4,7.0,0.0,,3.0,0,1
3.8,2.3,3.0,0.0,,0.0,1,0
4.9,2.8,4.0,0.0,,0.0,0,1
1.0,5.0,2.0,0.0,,1.0,0,0
3.3,2.7,6.0,0.0,,0.0,1,0
4.0,2.5,2.0,0.0,,0.0,0,0
4.8,3.0,6.0,0.0,,0.0,0,1
4.8,3.0,2.0,0.0,,0.0,1,0
3.8,2.0,2.0,0.0,,0.0,0,1
,,,,,,0,0
4.8,2.0,5.0,1.0,,0.0,1,0
3.6,2.5,8.0,0.0,,0.0,1,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
2.8,2.5,2.0,0.0,,1.0,0,1
4.9,2.8,6.0,1.0,,0.0,1,0
4.8,1.8,11.0,1.0,100.0,6.0,1,0
5.0,3.0,1.0,0.0,,0.0,0,0
,,,,,,0,0
4.5,3.0,1.0,0.0,,0.0,0,1
2.5,5.0,2.0,0.0,,0.0,0,0
,,,,,,0,0
1.0,3.0,1.0,0.0,,0.0,1,0
,,,,,,0,0
2.9,3.8,13.0,0.0,33.0,0.0,0,1
3.4,3.6,11.0,0.0,83.0,6.0,0,0
5.0,2.0,1.0,0.0,,1.0,0,1
4.1,3.4,5.0,0.0,,0.0,1,0
4.7,2.7,17.0,1.0,86.0,0.0,1,0
5.0,2.5,6.0,1.0,,0.0,1,0
5.0,1.5,2.0,1.0,,0.0,1,0
3.8,2.0,2.0,0.0,,1.0,1,0
,,,,,,0,0
,,,,,,0,0
4.5,3.0,1.0,0.0,,0.0,0,1
4.9,2.8,9.0,1.0,100.0,0.0,0,1
2.8,3.7,8.0,0.0,33.0,1.0,1,0
4.4,1.2,4.0,0.0,,4.0,0,1
5.0,2.0,1.0,0.0,,0.0,0,1
2.2,4.0,5.0,0.0,,0.0,1,0
2.2,4.3,6.0,0.0,40.0,0.0,1,0
5.0,2.5,2.0,0.0,,0.0,0,0
3.3,4.0,2.0,0.0,,0.0,1,0
4.5,2.4,10.0,1.0,,0.0,0,1
,,,,,,0,0
4.8,3.0,2.0,0.0,,0.0,0,0
4.5,1.1,12.0,0.0,100.0,0.0,1,0
5.0,1.0,1.0,0.0,,0.0,0,1
4.3,3.0,2.0,1.0,,0.0,0,0
2.0,3.5,2.0,0.0,,0.0,0,1
5.0,2.8,5.0,0.0,,0.0,0,0
3.4,3.0,22.0,0.0,71.0,0.0,0,1
4.0,2.3,3.0,1.0,,0.0,1,0
4.7,2.0,3.0,1.0,,0.0,1,1
5.0,3.0,1.0,0.0,,0.0,0,1
4.1,4.0,5.0,0.0,,0.0,0,1
4.3,2.2,16.0,0.0,100.0,1.0,0,0
4.5,1.0,1.0,0.0,,0.0,0,1
5.0,4.0,1.0,0.0,,0.0,0,1
3.5,2.2,5.0,1.0,,0.0,0,1
5.0,4.0,1.0,1.0,,0.0,1,0
4.3,3.3,14.0,0.0,75.0,0.0,1,0
3.3,1.8,4.0,0.0,,0.0,1,0
3.8,3.5,2.0,0.0,,0.0,0,0
3.0,3.3,15.0,0.0,56.0,5.0,1,0
3.0,3.1,9.0,0.0,,5.0,0,0
4.9,1.8,4.0,1.0,,0.0,0,1
4.3,1.9,8.0,0.0,,0.0,1,0
4.8,2.7,6.0,1.0,,0.0,1,0
3.5,3.3,3.0,0.0,,0.0,0,1
4.0,2.0,1.0,1.0,,0.0,0,1
3.4,4.0,6.0,1.0,,0.0,0,0
3.9,4.0,3.0,0.0,,0.0,0,1
2.8,3.7,10.0,0.0,,0.0,0,0
,,,,,,0,0
3.4,3.5,13.0,0.0,78.0,0.0,1,0
2.9,3.9,16.0,0.0,53.0,0.0,0,1
5.0,3.0,2.0,0.0,,0.0,0,0
2.0,4.0,1.0,0.0,,0.0,1,0
3.5,3.3,8.0,0.0,100.0,0.0,0,0
3.0,2.5,2.0,0.0,,1.0,0,1
4.1,3.1,8.0,0.0,71.0,0.0,1,0
3.3,3.0,2.0,0.0,,0.0,1,0
3.1,2.4,5.0,1.0,,0.0,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
2.5,2.0,1.0,0.0,,0.0,0,1
4.3,3.0,2.0,0.0,,0.0,1,0
1.9,3.2,6.0,0.0,,0.0,0,0
,,,,,,0,0
3.9,2.0,3.0,1.0,,0.0,0,1
,,,,,,0,0
,,,,,,0,0
4.5,2.3,12.0,0.0,100.0,6.0,1,0
4.5,2.0,1.0,0.0,,0.0,0,1
5.0,2.0,8.0,1.0,100.0,0.0,0,1
4.5,3.0,1.0,0.0,,0.0,1,0
,,,,,,0,0
4.5,3.0,1.0,0.0,,0.0,0,1
5.0,2.0,6.0,1.0,,0.0,1,0
2.9,3.7,3.0,1.0,,2.0,1,1
2.0,3.0,1.0,0.0,,0.0,0,0
4.0,5.0,1.0,0.0,,0.0,1,0
2.5,3.3,3.0,0.0,,3.0,1,0
5.0,2.0,1.0,0.0,,0.0,1,0
5.0,4.0,2.0,0.0,,2.0,1,0
2.8,2.2,4.0,0.0,,0.0,1,0
1.4,4.3,4.0,0.0,,0.0,1,0
5.0,2.0,1.0,0.0,,0.0,0,1
3.0,5.0,1.0,0.0,,0.0,0,1
2.0,2.5,2.0,0.0,,0.0,1,0
,,,,,,0,0
3.6,1.6,12.0,0.0,,0.0,0,0
4.8,1.7,6.0,0.0,,0.0,1,0
3.8,4.0,2.0,0.0,,0.0,0,0
4.5,2.5,11.0,0.0,90.0,1.0,1,0
5.0,2.5,7.0,0.0,100.0,0.0,1,0
2.8,3.9,18.0,0.0,50.0,0.0,0,1
4.3,2.3,3.0,1.0,,0.0,1,0
,,,,,,0,0
,,,,,,0,0
3.0,3.5,2.0,0.0,,0.0,0,1
4.8,1.7,12.0,0.0,100.0,0.0,1,0
,,,,,,0,0
,,,,,,0,0
4.8,1.7,3.0,0.0,,0.0,0,0
4.3,2.0,3.0,0.0,,0.0,0,1
,,,,,,0,0
3.1,3.9,7.0,0.0,,0.0,0,1
,,,,,,0,0
4.5,3.0,7.0,1.0,,0.0,1,0
,,,,,,0,0
4.5,4.0,2.0,0.0,,0.0,0,1
4.3,2.3,3.0,1.0,,0.0,1,0
4.0,3.0,4.0,1.0,,0.0,0,1
2.1,3.5,4.0,0.0,,1.0,0,0
5.0,2.0,1.0,0.0,,1.0,0,1
4.8,2.8,5.0,0.0,,0.0,1,0
3.5,3.8,5.0,0.0,,0.0,0,1
4.0,3.0,1.0,0.0,,0.0,1,0
5.0,1.3,3.0,1.0,,0.0,0,1
,,,,,,0,0
4.0,2.3,3.0,0.0,,0.0,0,1
3.0,3.0,2.0,0.0,,0.0,1,0
4.8,1.6,9.0,1.0,,0.0,0,1
,,,,,,0,0
,,,,,,0,0
2.1,3.8,4.0,0.0,,0.0,1,0
4.0,2.2,29.0,1.0,80.0,1.0,0,0
4.5,2.0,1.0,0.0,,0.0,0,1
3.5,3.0,1.0,0.0,,0.0,1,0
5.0,3.0,1.0,0.0,,0.0,1,0
4.9,2.2,5.0,0.0,,4.0,0,1
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
5.0,1.0,1.0,0.0,,0.0,1,0
4.9,1.7,6.0,1.0,,0.0,0,1
2.5,4.0,1.0,0.0,,0.0,0,1
5.0,1.0,1.0,0.0,,0.0,0,1
5.0,1.0,3.0,1.0,,0.0,1,0
3.7,2.3,3.0,0.0,,0.0,0,0
4.0,2.7,17.0,0.0,60.0,0.0,0,0
4.1,2.6,7.0,1.0,67.0,0.0,0,0
,,,,,,0,0
2.9,4.2,5.0,0.0,,0.0,0,1
,,,,,,0,0
3.8,2.0,2.0,0.0,,0.0,0,0
4.9,2.7,8.0,1.0,,0.0,1,0
,,,,,,0,0
3.0,4.0,1.0,0.0,,0.0,1,0
3.5,1.0,1.0,0.0,,0.0,0,1
3.5,2.0,1.0,1.0,,0.0,1,0
2.8,3.4,31.0,0.0,28.0,0.0,0,1
4.5,2.4,23.0,1.0,93.0,9.0,0,1
,,,,,,0,0
3.9,3.4,5.0,0.0,,0.0,0,1
2.5,3.5,2.0,0.0,,0.0,1,0
5.0,2.0,2.0,0.0,,0.0,1,0
4.4,1.6,5.0,1.0,,0.0,0,1
2.8,4.0,4.0,0.0,,0.0,0,1
3.7,3.8,5.0,0.0,,1.0,1,1
2.1,3.8,5.0,0.0,,0.0,1,0
4.2,2.4,7.0,1.0,,0.0,0,1
1.0,5.0,1.0,0.0,,0.0,0,0
4.8,1.0,2.0,0.0,,0.0,1,0
5.0,3.0,1.0,0.0,,0.0,1,0
3.5,2.8,6.0,0.0,,0.0,0,0
3.2,3.8,6.0,0.0,,0.0,1,0
,,,,,,0,0
4.7,2.8,5.0,0.0,,0.0,0,1
4.0,3.3,3.0,0.0,,0.0,0,0
2.8,3.3,3.0,0.0,,0.0,0,0
,,,,,,0,0
1.8,4.3,11.0,0.0,,0.0,0,1
1.9,4.8,5.0,0.0,,0.0,1,0
5.0,3.0,1.0,0.0,,0.0,0,1
4.5,1.5,2.0,0.0,,0.0,1,0
1.4,4.2,6.0,0.0,,0.0,1,0
5.0,3.0,1.0,1.0,,0.0,1,0
2.0,5.0,1.0,0.0,,0.0,1,0
3.0,2.0,5.0,0.0,,0.0,0,0
5.0,2.0,1.0,0.0,,0.0,0,0
4.5,3.0,1.0,0.0,,0.0,0,1
4.9,2.5,4.0,1.0,,0.0,0,1
,,,,,,0,0
1.8,4.4,8.0,0.0,,0.0,0,1
4.0,2.0,1.0,0.0,,0.0,0,1
4.6,1.8,6.0,1.0,,0.0,0,1
4.0,4.0,2.0,0.0,,0.0,1,1
1.8,4.5,2.0,0.0,,0.0,0,1
4.2,2.5,16.0,0.0,50.0,5.0,1,0
4.5,2.0,1.0,0.0,,0.0,1,0
,,,,,,0,0
4.5,1.0,1.0,0.0,,0.0,1,0
4.5,3.0,1.0,0.0,,0.0,0,1
3.9,3.0,4.0,0.0,,0.0,0,0
4.3,2.0,2.0,0.0,,0.0,1,0
4.8,1.2,5.0,0.0,,0.0,1,0
4.0,2.0,2.0,0.0,,0.0,1,0
3.8,3.5,2.0,0.0,,0.0,0,0
3.3,3.8,5.0,0.0,,0.0,0,0
4.8,2.5,2.0,0.0,,0.0,0,1
,,,,,,0,0
4.6,1.6,21.0,1.0,,0.0,0,0
3.5,3.0,1.0,0.0,,0.0,1,0
3.7,3.5,4.0,1.0,,0.0,0,0
5.0,1.0,2.0,0.0,,0.0,0,1
5.0,1.0,1.0,0.0,,1.0,1,0
2.1,3.3,14.0,0.0,25.0,0.0,0,1
1.0,3.7,3.0,0.0,,0.0,0,1
3.2,2.4,11.0,0.0,80.0,0.0,1,0
4.0,3.0,1.0,0.0,,1.0,1,0
1.5,5.0,1.0,0.0,,0.0,0,1
5.0,4.0,1.0,0.0,,1.0,1,0
2.7,2.7,3.0,0.0,,0.0,0,1
2.0,3.0,1.0,0.0,,0.0,1,0
5.0,3.0,1.0,0.0,,0.0,1,0
4.7,3.0,5.0,1.0,,0.0,1,0
4.8,1.5,2.0,0.0,,0.0,1,0
2.9,3.5,9.0,0.0,,0.0,0,1
4.4,2.9,11.0,0.0,83.0,0.0,0,1
5.0,3.5,2.0,0.0,,2.0,0,1
4.2,3.2,39.0,1.0,65.0,0.0,1,0
3.6,3.3,4.0,0.0,,0.0,1,0
,,,,,,0,0
5.0,3.0,1.0,0.0,,0.0,1,0
3.7,3.7,3.0,1.0,,0.0,1,0
4.5,2.5,2.0,0.0,,0.0,0,0
3.9,2.8,35.0,0.0,,0.0,1,0
4.5,3.5,8.0,1.0,,0.0,0,0
2.0,4.0,1.0,0.0,,0.0,0,0
4.6,1.6,5.0,0.0,,0.0,1,0
3.5,3.0,7.0,0.0,50.0,7.0,1,0
,,,,,,0,0
3.3,2.0,2.0,0.0,,0.0,0,1
1.3,4.5,6.0,0.0,,0.0,1,0
,,,,,,0,0
4.1,2.0,5.0,0.0,,0.0,0,0
4.9,3.8,7.0,1.0,,0.0,0,0
4.5,2.6,12.0,1.0,,0.0,0,0
1.3,3.2,5.0,0.0,,0.0,0,0
3.0,3.0,2.0,0.0,,0.0,1,0
5.0,1.8,4.0,0.0,,0.0,0,1
3.8,3.7,8.0,0.0,80.0,0.0,0,1
1.3,4.3,3.0,0.0,,0.0,0,0
5.0,1.0,1.0,0.0,,0.0,0,0
4.2,2.6,15.0,0.0,67.0,0.0,1,0
2.6,3.9,7.0,0.0,40.0,0.0,0,0
4.9,3.2,5.0,1.0,,0.0,1,0
,,,,,,0,0
4.8,4.0,2.0,0.0,,0.0,0,1
4.5,2.0,1.0,0.0,,0.0,1,0
1.8,4.5,2.0,0.0,,0.0,0,0
4.1,2.0,7.0,1.0,,0.0,0,1
3.0,4.0,2.0,0.0,,0.0,1,0
5.0,4.0,1.0,0.0,,0.0,0,1
3.2,1.3,3.0,0.0,,0.0,0,1
